"Locais" "Tamanho.da.Tartaruga" "Mercurio"
"1" 48.8637703463397 75.896093994379
"2" 49.6773660454876 7.54824031610042
"3" 50.1593338837302 94.5019740378484
"4" 48.2128497500453 8.82330078165978
"5" 48.9817928394516 23.9353382028639
"6" 49.4697431763547 45.5295221181586
"7" 49.885601654414 47.1371456282213
"8" 48.6028572367824 4.96971176471561
"9" 49.1077960358986 63.0904789548367
"10" 49.0449419636677 54.5003681210801
"11" 50.309616425518 78.413730324246
"12" 49.1213851116754 31.4746562857181
"13" 50.0863975768292 88.6077149305493
"14" 49.9258074841592 56.4930692780763
"15" 48.3869287841332 12.7781921764836
"16" 50.5402812465828 16.7319867527112
"17" 50.0805273836687 52.5369699811563
"18" 48.438350938241 82.3803877225146
"19" 50.8699888534683 19.0782258752733
"20" 50.4186878644603 91.7126703774557
"21" 52.0043578940724 55.3638169541955
"22" 49.6632353880396 89.9414151208475
"23" 47.1237254243926 4.86688220407814
"24" 49.627592336422 9.80384033173323
"25" 51.4610811931246 44.169943057932
"26" 48.8504387717859 8.20572108495981
"27" 49.4099201230666 62.0219230419025
"28" 48.5512147349724 53.3516063820571
"29" 49.8097687388899 3.8949670502916
"30" 49.2439035586135 54.3939738534391
"31" 48.9320604097458 31.1766334809363
"32" 49.3721803282861 58.1678700167686
"33" 49.0634976325811 38.8029725989327
"34" 48.6087618226714 75.0796881038696
"35" 50.6851767376892 4.34174456167966
"36" 49.8311397037566 44.5406700717285
"37" 49.2344683857386 85.9670614590868
"38" 48.6416926496409 25.447285710834
"39" 50.497044697558 4.2995979776606
"40" 49.848942657707 50.655581522733
"41" 49.2323633773102 31.6696651279926
"42" 49.8018385843472 8.02074004895985
"43" 49.554087960532 15.4700807761401
"44" 50.173963121364 55.1632106304169
"45" 50.1041012682484 0.588079099543393
"46" 49.5870190667293 75.0024070730433
"47" 48.9457172346563 21.4502088492736
"48" 50.6883438817411 2.01676189899445
"49" 49.9179373628711 81.4374816836789
"50" 49.5963917794762 72.0429861685261
"51" 49.848125756419 50.1774223754182
"52" 49.036591227819 28.5622980445623
"53" 48.6044645690817 15.8215455245227
"54" 51.8378001548952 19.4037595530972
"55" 49.3623255693619 67.4186035292223
"56" 50.9052845257588 48.6511970404536
"57" 49.2770633011842 48.6741791246459
"58" 51.0333048647858 51.4882150338963
"59" 49.7631692729821 16.5429634740576
"60" 51.0251466412184 51.3817944331095
"61" 50.5590403348738 71.1943525122479
"62" 48.1109970627307 97.526852414012
"63" 49.4683204746322 66.7433837195858
"64" 50.9481432326865 62.2238654177636
"65" 52.1788826776237 34.9373739212751
"66" 47.728258554285 86.4439151482657
"67" 50.3257187453742 84.3783625867218
"68" 48.5920968682339 0.449085282161832
"69" 50.6111535414498 48.0207054875791
"70" 49.9249665369151 39.066726830788
"71" 49.1694019889579 2.46886701788753
"72" 50.7388436026206 95.9760469850153
"73" 48.2841819236018 59.9047137890011
"74" 49.7865767984449 56.1070873169228
"75" 48.6398013527803 31.1479241587222
"76" 49.0852970360532 72.1620308002457
"77" 50.6599518649321 67.7854554960504
"78" 48.6831828921811 45.7827889826149
"79" 50.5253422809158 52.6860976824537
"80" 49.7640204131634 46.3178991805762
"81" 51.6077821707671 31.6296551842242
"82" 51.5665741340823 66.4263156941161
"83" 49.0860946134014 92.2176003223285
"84" 50.3273702884046 18.8647051807493
"85" 49.869066076861 51.1757278814912
"86" 49.0429243057055 32.300376961939
"87" 48.944712784337 55.3789893630892
"88" 50.193312881679 38.6398558970541
"89" 51.5884270968528 60.7301644282416
"90" 50.1447314349024 0.202094949781895
"91" 50.1235517184502 23.2954910956323
"92" 48.0000928191708 46.7773304786533
"93" 49.6907242704943 10.8966211089864
"94" 50.823988654567 56.7353692138568
"95" 50.3973462920677 97.7627659915015
"96" 49.5467744726879 23.6136381980032
"97" 48.8559986317353 58.017081161961
"98" 49.6343816279984 93.0578491650522
"99" 50.5593209127925 82.4246985139325
"100" 48.2297830979545 19.7344019077718
